,product_category(1),product_category(2),product_category(3),product_category(4),product_category(5),product_category(6)
206,0,0,0,0,0,0
207,0,0,0,0,0,0
208,0,0,0,0,0,0
209,9,31,54,42,0,0
210,0,0,0,0,0,0
211,0,0,0,0,0,0
212,1,1,0,0,0,0
213,3,3,2,2,0,0
214,10,25,45,43,0,0
215,14,41,60,44,0,0
216,0,0,0,0,0,0
217,3,3,2,2,0,0
218,0,0,0,0,0,0
219,6,21,0,0,0,0
220,5,6,5,0,0,0
221,7,10,0,0,0,0
222,0,0,0,0,0,0
223,0,0,0,0,0,0
224,0,0,0,0,0,0
225,1,17,61,0,0,0
226,5,39,62,0,0,0
227,4,42,63,45,0,0
228,0,0,0,0,0,0
229,0,0,0,0,0,0
230,4,14,13,46,0,0
231,3,8,7,0,0,0
232,3,43,64,47,0,0
233,4,5,26,48,0,0
234,1,1,0,0,0,0
235,1,9,65,49,0,0
236,1,9,66,0,0,0
237,0,0,0,0,0,0
238,0,0,0,0,0,0
239,4,4,3,0,0,0
240,0,0,0,0,0,0
241,0,0,0,0,0,0
242,0,0,0,0,0,0
243,0,0,0,0,0,0
244,0,0,0,0,0,0
245,0,0,0,0,0,0
246,4,14,13,29,0,0
247,4,4,3,0,0,0
248,9,31,54,50,0,0
249,0,0,0,0,0,0
250,10,25,45,51,12,1
251,0,0,0,0,0,0
252,1,1,0,0,0,0
253,3,3,2,2,0,0
254,4,14,13,52,0,0
255,8,24,23,0,0,0
256,10,25,24,53,13,0
257,3,3,2,2,0,0
258,0,0,0,0,0,0
259,1,9,8,0,0,0
260,4,44,0,0,0,0
261,0,0,0,0,0,0
262,0,0,0,0,0,0
263,0,0,0,0,0,0
264,0,0,0,0,0,0
265,3,12,67,54,14,0
266,0,0,0,0,0,0
267,8,36,44,0,0,0
268,5,45,68,0,0,0
269,1,23,22,0,0,0
270,0,0,0,0,0,0
271,4,28,33,18,0,0
272,4,5,26,14,0,0
273,0,0,0,0,0,0
274,0,0,0,0,0,0
275,4,14,69,55,0,0
276,0,0,0,0,0,0
277,10,25,45,51,12,1
278,0,0,0,0,0,0
279,1,1,0,0,0,0
280,4,14,38,56,0,0
281,0,0,0,0,0,0
282,0,0,0,0,0,0
283,2,2,20,0,0,0
284,0,0,0,0,0,0
285,1,9,49,31,0,0
286,0,0,0,0,0,0
287,8,24,46,0,0,0
288,2,2,70,57,0,0
289,0,0,0,0,0,0
290,0,0,0,0,0,0
291,0,0,0,0,0,0
292,0,0,0,0,0,0
293,0,0,0,0,0,0
294,8,11,43,0,0,0
295,15,46,71,0,0,0
296,0,0,0,0,0,0
297,8,24,23,0,0,0
298,0,0,0,0,0,0
299,0,0,0,0,0,0
300,4,5,72,58,0,0
301,3,16,16,0,0,0
302,0,0,0,0,0,0
303,5,39,51,0,0,0
304,8,24,23,0,0,0
305,4,4,3,0,0,0
306,1,9,73,0,0,0
307,3,16,16,0,0,0
308,0,0,0,0,0,0
309,0,0,0,0,0,0
310,3,3,2,2,0,0
311,6,21,0,0,0,0
312,4,47,74,59,0,0
313,4,5,75,0,0,0
314,3,16,16,0,0,0
315,0,0,0,0,0,0
316,3,18,18,7,0,0
317,1,1,0,0,0,0
318,4,28,76,0,0,0
319,0,0,0,0,0,0
320,0,0,0,0,0,0
321,3,8,77,0,0,0
322,3,3,2,5,1,0
323,0,0,0,0,0,0
324,0,0,0,0,0,0
325,1,9,49,31,0,0
326,3,12,78,60,0,0
327,6,21,0,0,0,0
328,0,0,0,0,0,0
329,10,25,45,51,12,1
330,8,24,23,0,0,0
331,0,0,0,0,0,0
332,4,5,79,61,0,0
333,0,0,0,0,0,0
334,1,1,0,0,0,0
335,1,1,0,0,0,0
336,1,9,66,0,0,0
337,3,8,77,0,0,0
338,0,0,0,0,0,0
339,0,0,0,0,0,0
340,0,0,0,0,0,0
341,0,0,0,0,0,0
342,3,3,2,2,0,0
343,0,0,0,0,0,0
344,10,25,45,62,0,0
345,9,31,54,36,0,0
346,2,2,47,27,0,0
347,4,14,13,63,0,0
348,9,31,80,64,0,0
349,4,28,76,0,0,0
350,1,1,0,0,0,0
351,0,0,0,0,0,0
352,2,2,1,9,15,0
353,0,0,0,0,0,0
354,4,28,81,0,0,0
355,0,0,0,0,0,0
356,4,5,82,0,0,0
357,3,16,16,0,0,0
358,8,24,23,0,0,0
359,12,30,37,65,16,0
360,0,0,0,0,0,0
361,0,0,0,0,0,0
362,0,0,0,0,0,0
363,4,5,83,0,0,0
364,1,17,17,0,0,0
365,0,0,0,0,0,0
366,0,0,0,0,0,0
367,0,0,0,0,0,0
368,3,16,16,0,0,0
369,0,0,0,0,0,0
370,14,41,60,44,0,0
371,1,1,0,0,0,0
372,2,2,1,15,17,0
373,0,0,0,0,0,0
374,4,28,33,18,0,0
375,0,0,0,0,0,0
376,9,31,84,66,0,0
377,4,5,72,67,0,0
378,1,9,49,31,0,0
379,4,48,85,68,0,0
380,0,0,0,0,0,0
381,1,9,53,38,0,0
382,1,9,73,0,0,0
383,3,43,86,69,18,0
384,0,0,0,0,0,0
385,3,49,87,0,0,0
386,0,0,0,0,0,0
387,0,0,0,0,0,0
388,8,50,88,0,0,0
389,8,15,15,0,0,0
390,16,51,0,0,0,0
391,0,0,0,0,0,0
392,9,31,89,70,0,0
393,4,14,36,71,0,0
394,0,0,0,0,0,0
395,0,0,0,0,0,0
396,1,9,49,31,0,0
397,1,9,8,0,0,0
398,4,52,0,0,0,0
399,1,1,0,0,0,0
400,10,25,45,72,0,0
401,10,25,45,62,0,0
402,0,0,0,0,0,0
403,0,0,0,0,0,0
404,4,42,63,73,0,0
405,0,0,0,0,0,0
406,2,2,47,74,19,0
407,0,0,0,0,0,0
408,0,0,0,0,0,0
409,2,2,1,75,20,2
410,5,53,90,0,0,0
411,8,50,91,0,0,0
412,1,1,0,0,0,0
413,0,0,0,0,0,0
414,4,14,13,8,2,0
415,4,42,63,76,0,0
416,0,0,0,0,0,0
417,0,0,0,0,0,0
418,3,3,2,2,0,0
419,1,1,0,0,0,0
420,0,0,0,0,0,0
421,12,30,37,28,21,0
422,0,0,0,0,0,0
423,0,0,0,0,0,0
424,1,1,0,0,0,0
425,2,2,9,32,0,0
426,10,25,45,77,0,0
427,4,14,13,8,2,0
428,0,0,0,0,0,0
429,3,18,18,7,0,0
430,0,0,0,0,0,0
431,11,54,92,78,0,0
432,8,34,93,0,0,0
433,1,9,66,0,0,0
434,0,0,0,0,0,0
435,0,0,0,0,0,0
436,9,13,94,0,0,0
437,4,5,79,61,0,0
438,0,0,0,0,0,0
439,0,0,0,0,0,0
440,0,0,0,0,0,0
441,6,21,0,0,0,0
442,3,3,2,2,0,0
443,3,3,2,2,0,0
444,17,55,95,0,0,0
445,3,3,2,2,0,0
446,1,29,96,0,0,0
447,9,31,89,70,0,0
448,0,0,0,0,0,0
449,4,14,13,79,0,0
450,4,28,33,18,0,0
451,3,12,67,80,22,0
452,1,9,66,0,0,0
453,4,26,29,81,23,0
454,1,9,66,0,0,0
455,0,0,0,0,0,0
456,5,45,97,0,0,0
457,0,0,0,0,0,0
458,0,0,0,0,0,0
459,3,8,57,0,0,0
460,3,49,98,0,0,0
461,1,1,0,0,0,0
462,1,9,8,0,0,0
463,8,24,23,0,0,0
464,8,24,23,0,0,0
465,8,56,99,0,0,0
466,0,0,0,0,0,0
467,0,0,0,0,0,0
468,11,27,100,82,0,0
469,0,0,0,0,0,0
470,0,0,0,0,0,0
471,3,3,2,2,0,0
472,0,0,0,0,0,0
473,0,0,0,0,0,0
474,1,1,0,0,0,0
475,3,3,2,2,0,0
476,0,0,0,0,0,0
477,10,25,24,53,24,0
478,0,0,0,0,0,0
479,0,0,0,0,0,0
480,0,0,0,0,0,0
481,0,0,0,0,0,0
482,0,0,0,0,0,0
483,3,8,77,0,0,0
484,9,31,54,50,0,0
485,0,0,0,0,0,0
486,4,14,13,83,0,0
487,1,9,66,0,0,0
488,0,0,0,0,0,0
489,12,30,37,65,25,0
490,0,0,0,0,0,0
491,0,0,0,0,0,0
492,0,0,0,0,0,0
493,8,57,101,0,0,0
494,5,40,52,34,0,0
495,3,12,67,84,26,0
496,8,11,102,0,0,0
497,4,42,63,73,0,0
498,0,0,0,0,0,0
499,4,48,0,0,0,0
500,1,23,22,0,0,0
501,5,6,103,0,0,0
502,10,25,24,85,27,0
503,3,18,18,7,0,0
504,4,14,13,25,0,0
505,0,0,0,0,0,0
506,5,39,51,0,0,0
507,0,0,0,0,0,0
508,4,42,63,73,0,0
509,0,0,0,0,0,0
510,5,53,104,0,0,0
511,6,21,0,0,0,0
512,3,12,67,54,28,0
513,0,0,0,0,0,0
514,6,21,0,0,0,0
515,0,0,0,0,0,0
516,1,1,0,0,0,0
517,3,58,0,0,0,0
518,3,3,2,2,0,0
519,1,9,53,86,0,0
520,3,12,105,87,0,0
521,8,11,43,0,0,0
522,0,0,0,0,0,0
523,1,9,8,0,0,0
524,0,0,0,0,0,0
525,0,0,0,0,0,0
526,10,25,45,88,0,0
527,0,0,0,0,0,0
528,3,18,18,26,0,0
529,0,0,0,0,0,0
530,0,0,0,0,0,0
531,0,0,0,0,0,0
532,0,0,0,0,0,0
533,8,34,93,0,0,0
534,0,0,0,0,0,0
535,2,2,47,27,0,0
536,1,9,49,31,0,0
537,0,0,0,0,0,0
538,0,0,0,0,0,0
539,0,0,0,0,0,0
540,4,14,13,11,0,0
541,0,0,0,0,0,0
542,0,0,0,0,0,0
543,0,0,0,0,0,0
544,0,0,0,0,0,0
545,0,0,0,0,0,0
546,3,3,2,2,0,0
547,0,0,0,0,0,0
548,0,0,0,0,0,0
549,0,0,0,0,0,0
550,0,0,0,0,0,0
551,4,28,76,0,0,0
552,8,34,106,0,0,0
553,1,9,66,0,0,0
554,4,28,76,0,0,0
555,0,0,0,0,0,0
556,5,59,107,0,0,0
557,0,0,0,0,0,0
558,3,12,67,80,29,0
559,0,0,0,0,0,0
560,0,0,0,0,0,0
561,0,0,0,0,0,0
562,0,0,0,0,0,0
563,0,0,0,0,0,0
564,8,11,10,0,0,0
565,0,0,0,0,0,0
566,0,0,0,0,0,0
567,1,9,49,31,0,0
568,0,0,0,0,0,0
569,3,60,108,0,0,0
570,1,9,14,0,0,0
571,0,0,0,0,0,0
572,0,0,0,0,0,0
573,2,2,1,9,15,0
574,0,0,0,0,0,0
575,8,24,23,0,0,0
576,1,9,8,0,0,0
577,1,9,14,0,0,0
578,4,14,13,8,30,0
579,10,25,45,89,0,0
580,10,25,45,43,0,0
581,1,9,14,0,0,0
582,4,38,48,30,0,0
583,13,61,109,0,0,0
584,0,0,0,0,0,0
585,0,0,0,0,0,0
586,0,0,0,0,0,0
587,1,9,65,90,0,0
588,0,0,0,0,0,0
589,0,0,0,0,0,0
590,0,0,0,0,0,0
591,3,8,7,0,0,0
592,0,0,0,0,0,0
593,1,23,22,0,0,0
594,0,0,0,0,0,0
595,1,1,0,0,0,0
596,4,14,13,25,0,0
597,0,0,0,0,0,0
598,0,0,0,0,0,0
599,6,21,0,0,0,0
600,4,47,110,0,0,0
601,2,2,47,91,0,0
602,0,0,0,0,0,0
603,0,0,0,0,0,0
604,0,0,0,0,0,0
605,0,0,0,0,0,0
606,0,0,0,0,0,0
607,1,9,49,31,0,0
608,0,0,0,0,0,0
609,0,0,0,0,0,0
610,0,0,0,0,0,0
611,4,38,48,92,0,0
612,0,0,0,0,0,0
613,3,8,7,0,0,0
614,2,2,1,9,3,0
615,3,3,2,5,31,0
616,8,11,102,0,0,0
617,3,16,111,93,32,0
618,0,0,0,0,0,0
619,0,0,0,0,0,0
620,3,16,32,0,0,0
621,10,25,45,94,0,0
622,4,62,112,0,0,0
623,1,1,0,0,0,0
624,10,25,45,95,0,0
625,0,0,0,0,0,0
626,0,0,0,0,0,0
627,0,0,0,0,0,0
628,9,31,54,50,0,0
629,1,1,0,0,0,0
630,0,0,0,0,0,0
631,0,0,0,0,0,0
632,0,0,0,0,0,0
633,1,9,8,0,0,0
634,10,25,45,72,0,0
635,0,0,0,0,0,0
636,0,0,0,0,0,0
637,12,30,37,96,0,0
638,0,0,0,0,0,0
639,0,0,0,0,0,0
640,0,0,0,0,0,0
641,3,3,2,2,0,0
642,9,31,54,97,0,0
643,0,0,0,0,0,0
644,0,0,0,0,0,0
645,0,0,0,0,0,0
646,12,30,37,65,33,3
647,0,0,0,0,0,0
648,0,0,0,0,0,0
649,4,14,13,11,0,0
650,0,0,0,0,0,0
651,3,3,2,2,0,0
652,0,0,0,0,0,0
653,2,2,1,98,0,0
654,1,1,0,0,0,0
655,3,3,2,2,0,0
656,8,63,113,0,0,0
657,11,64,114,0,0,0
658,0,0,0,0,0,0
659,0,0,0,0,0,0
660,0,0,0,0,0,0
661,4,14,59,41,34,0
662,8,24,23,0,0,0
663,0,0,0,0,0,0
664,0,0,0,0,0,0
665,0,0,0,0,0,0
666,4,14,59,41,35,0
667,0,0,0,0,0,0
668,17,65,115,0,0,0
669,0,0,0,0,0,0
670,0,0,0,0,0,0
671,10,25,45,88,0,0
672,4,14,116,99,0,0
673,12,30,37,28,9,0
674,0,0,0,0,0,0
675,5,6,5,0,0,0
676,8,15,117,0,0,0
677,9,31,54,36,0,0
678,8,11,118,0,0,0
679,0,0,0,0,0,0
680,4,5,119,0,0,0
681,3,16,16,0,0,0
682,9,31,54,36,0,0
683,0,0,0,0,0,0
684,1,9,30,0,0,0
685,0,0,0,0,0,0
686,1,1,0,0,0,0
687,3,12,120,100,0,0
688,4,14,13,101,0,0
689,8,15,117,0,0,0
690,3,8,7,0,0,0
691,0,0,0,0,0,0
692,1,1,0,0,0,0
693,9,31,54,50,0,0
694,0,0,0,0,0,0
695,3,8,7,0,0,0
696,3,12,78,102,0,0
697,11,27,121,103,0,0
698,0,0,0,0,0,0
699,3,3,2,5,1,0
700,0,0,0,0,0,0
701,0,0,0,0,0,0
702,1,1,0,0,0,0
703,3,3,2,2,0,0
704,6,21,0,0,0,0
705,0,0,0,0,0,0
706,0,0,0,0,0,0
707,0,0,0,0,0,0
708,2,2,1,9,8,0
709,4,42,63,73,0,0
710,3,16,16,0,0,0
711,0,0,0,0,0,0
712,8,15,122,0,0,0
713,4,14,116,99,0,0
714,0,0,0,0,0,0
715,0,0,0,0,0,0
716,0,0,0,0,0,0
717,0,0,0,0,0,0
718,3,3,2,2,0,0
719,0,0,0,0,0,0
720,8,15,15,0,0,0
721,3,8,77,0,0,0
722,8,63,123,0,0,0
723,3,49,98,0,0,0
724,3,3,2,2,0,0
725,3,3,2,2,0,0
726,3,3,2,2,0,0
727,12,30,37,28,36,0
728,0,0,0,0,0,0
729,4,14,116,99,0,0
730,1,9,66,0,0,0
731,1,9,8,0,0,0
732,7,10,0,0,0,0
733,5,6,103,0,0,0
734,0,0,0,0,0,0
735,0,0,0,0,0,0
736,3,18,25,104,0,0
737,0,0,0,0,0,0
738,5,39,62,0,0,0
739,0,0,0,0,0,0
740,8,56,99,0,0,0
741,1,1,0,0,0,0
742,0,0,0,0,0,0
743,0,0,0,0,0,0
744,0,0,0,0,0,0
745,0,0,0,0,0,0
746,0,0,0,0,0,0
747,0,0,0,0,0,0
748,0,0,0,0,0,0
749,0,0,0,0,0,0
750,0,0,0,0,0,0
751,1,9,30,0,0,0
752,1,1,0,0,0,0
753,0,0,0,0,0,0
754,11,54,92,78,0,0
755,0,0,0,0,0,0
756,0,0,0,0,0,0
757,0,0,0,0,0,0
758,2,2,1,9,15,0
759,4,48,85,68,0,0
760,2,2,1,9,37,0
761,4,14,13,63,0,0
762,11,27,124,105,0,0
763,0,0,0,0,0,0
764,1,23,22,0,0,0
765,4,5,125,0,0,0
766,11,66,126,0,0,0
767,0,0,0,0,0,0
768,4,14,13,11,0,0
769,9,31,89,70,0,0
770,8,15,15,0,0,0
771,0,0,0,0,0,0
772,0,0,0,0,0,0
773,3,49,127,106,38,0
774,0,0,0,0,0,0
775,1,1,0,0,0,0
776,0,0,0,0,0,0
777,3,3,2,2,0,0
778,8,15,15,0,0,0
779,3,67,128,0,0,0
780,1,9,66,0,0,0
781,0,0,0,0,0,0
782,1,1,0,0,0,0
783,0,0,0,0,0,0
784,3,3,2,2,0,0
785,3,3,2,5,39,0
786,0,0,0,0,0,0
787,12,30,37,107,0,0
788,0,0,0,0,0,0
789,8,68,129,0,0,0
790,3,12,105,108,0,0
791,4,14,13,109,40,0
792,0,0,0,0,0,0
793,0,0,0,0,0,0
794,0,0,0,0,0,0
795,5,39,62,0,0,0
796,0,0,0,0,0,0
797,3,18,18,26,0,0
798,4,14,59,41,41,0
799,0,0,0,0,0,0
800,12,30,37,96,0,0
801,12,30,130,110,42,0
802,0,0,0,0,0,0
803,1,1,0,0,0,0
804,4,28,33,18,0,0
805,3,3,2,2,0,0
806,1,9,66,0,0,0
807,0,0,0,0,0,0
808,0,0,0,0,0,0
809,0,0,0,0,0,0
810,0,0,0,0,0,0
811,17,65,131,111,0,0
812,0,0,0,0,0,0
813,0,0,0,0,0,0
814,1,1,0,0,0,0
815,0,0,0,0,0,0
816,4,14,13,112,0,0
817,2,2,1,9,3,0
818,0,0,0,0,0,0
819,1,1,0,0,0,0
820,1,9,65,113,0,0
821,0,0,0,0,0,0
822,0,0,0,0,0,0
823,14,41,132,114,0,0
824,0,0,0,0,0,0
825,4,5,133,115,0,0
826,0,0,0,0,0,0
827,10,25,45,24,0,0
828,3,3,2,2,0,0
829,0,0,0,0,0,0
830,0,0,0,0,0,0
831,3,8,77,0,0,0
832,0,0,0,0,0,0
833,3,3,2,2,0,0
834,0,0,0,0,0,0
835,0,0,0,0,0,0
836,0,0,0,0,0,0
837,1,1,0,0,0,0
838,3,58,0,0,0,0
839,1,9,30,0,0,0
840,4,48,0,0,0,0
841,11,27,134,0,0,0
842,2,2,1,9,3,0
843,6,21,0,0,0,0
844,2,2,47,27,0,0
845,3,12,67,84,43,0
846,0,0,0,0,0,0
847,0,0,0,0,0,0
848,0,0,0,0,0,0
849,3,3,2,2,0,0
850,1,9,66,0,0,0
851,8,24,46,0,0,0
852,0,0,0,0,0,0
853,8,11,135,116,0,0
854,8,24,23,0,0,0
855,3,3,2,2,0,0
856,1,1,0,0,0,0
857,0,0,0,0,0,0
858,0,0,0,0,0,0
859,8,24,23,0,0,0
860,0,0,0,0,0,0
861,1,1,0,0,0,0
862,4,5,136,0,0,0
863,0,0,0,0,0,0
864,1,1,0,0,0,0
865,1,69,137,0,0,0
866,1,1,0,0,0,0
867,6,21,0,0,0,0
868,4,14,116,117,0,0
869,3,3,2,2,0,0
870,0,0,0,0,0,0
871,1,9,8,0,0,0
872,0,0,0,0,0,0
873,0,0,0,0,0,0
874,5,53,138,0,0,0
875,1,9,66,0,0,0
876,0,0,0,0,0,0
877,1,9,8,0,0,0
878,0,0,0,0,0,0
879,0,0,0,0,0,0
880,1,9,49,31,0,0
881,0,0,0,0,0,0
882,1,1,0,0,0,0
883,4,47,110,0,0,0
884,0,0,0,0,0,0
885,0,0,0,0,0,0
886,0,0,0,0,0,0
887,0,0,0,0,0,0
888,0,0,0,0,0,0
889,3,3,2,2,0,0
890,0,0,0,0,0,0
891,1,9,53,118,0,0
892,4,42,63,76,0,0
893,0,0,0,0,0,0
894,18,70,139,0,0,0
895,1,1,0,0,0,0
896,0,0,0,0,0,0
897,0,0,0,0,0,0
898,3,12,67,119,44,0
899,9,31,84,120,0,0
900,6,21,0,0,0,0
901,0,0,0,0,0,0
902,0,0,0,0,0,0
903,0,0,0,0,0,0
904,0,0,0,0,0,0
905,1,17,140,0,0,0
906,3,3,2,2,0,0
907,3,3,2,2,0,0
908,0,0,0,0,0,0
909,4,5,141,0,0,0
910,1,9,14,0,0,0
911,2,20,142,121,0,0
912,0,0,0,0,0,0
913,1,17,143,0,0,0
914,1,9,66,0,0,0
915,4,38,144,122,0,0
916,0,0,0,0,0,0
917,12,30,145,0,0,0
918,4,28,33,123,0,0
919,0,0,0,0,0,0
920,0,0,0,0,0,0
921,0,0,0,0,0,0
922,1,9,49,31,0,0
923,1,1,0,0,0,0
924,5,6,5,0,0,0
925,0,0,0,0,0,0
926,3,3,2,2,0,0
927,4,5,119,0,0,0
928,0,0,0,0,0,0
929,19,71,146,124,0,0
930,4,14,59,41,35,0
931,4,4,147,0,0,0
932,8,24,23,0,0,0
933,0,0,0,0,0,0
934,5,59,107,0,0,0
935,0,0,0,0,0,0
936,0,0,0,0,0,0
937,8,15,15,0,0,0
938,0,0,0,0,0,0
939,8,11,10,0,0,0
940,0,0,0,0,0,0
941,1,9,55,37,0,0
942,0,0,0,0,0,0
943,0,0,0,0,0,0
944,1,9,66,0,0,0
945,3,3,2,5,1,0
946,1,17,140,0,0,0
947,1,9,49,31,0,0
948,3,3,2,2,0,0
949,3,18,148,125,45,0
950,2,2,1,75,46,4
951,8,72,0,0,0,0
952,0,0,0,0,0,0
953,4,28,33,18,0,0
954,5,73,149,0,0,0
955,4,14,59,41,41,0
956,4,38,48,30,0,0
957,0,0,0,0,0,0
958,12,30,37,20,47,0
959,0,0,0,0,0,0
960,4,14,13,29,0,0
961,3,8,77,0,0,0
962,0,0,0,0,0,0
963,0,0,0,0,0,0
964,8,11,10,0,0,0
965,5,40,52,34,0,0
966,8,36,44,0,0,0
967,11,66,126,0,0,0
968,9,13,150,0,0,0
969,0,0,0,0,0,0
970,8,50,88,0,0,0
971,5,39,62,0,0,0
972,1,23,40,0,0,0
973,3,18,18,26,0,0
974,0,0,0,0,0,0
975,4,14,13,79,0,0
976,1,9,8,0,0,0
977,9,31,54,42,0,0
978,5,22,151,0,0,0
979,4,14,13,101,0,0
980,0,0,0,0,0,0
981,0,0,0,0,0,0
982,1,17,140,0,0,0
983,2,2,1,98,0,0
984,1,1,0,0,0,0
985,2,2,1,9,3,0
986,0,0,0,0,0,0
987,0,0,0,0,0,0
988,4,5,72,126,0,0
989,0,0,0,0,0,0
990,4,26,152,127,0,0
991,0,0,0,0,0,0
992,8,50,91,0,0,0
993,6,74,0,0,0,0
